org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.framework:6.0.0, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.framework:6.0.2, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.framework:6.0.3, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.framework:6.0.4, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.framework:7.0.0, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.0.14, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.0, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.2, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.6, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.8, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.10, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.12, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.14, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.16, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.18, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.20, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.22, indexing...
org.codehaus.mojo:animal-sniffer-annotations:1.9 is dependency of org.apache.felix:org.apache.felix.scr:2.1.24, indexing...
